序号	字符	unicode	分类
1	一	 U+4E00	CJK Unified Ideographs (Han)
2	丁	 U+4E01	CJK Unified Ideographs (Han)
3	丂	 U+4E02	CJK Unified Ideographs (Han)
4	七	 U+4E03	CJK Unified Ideographs (Han)
5	丄	 U+4E04	CJK Unified Ideographs (Han)
6	丅	 U+4E05	CJK Unified Ideographs (Han)
7	丆	 U+4E06	CJK Unified Ideographs (Han)
8	万	 U+4E07	CJK Unified Ideographs (Han)
9	丈	 U+4E08	CJK Unified Ideographs (Han)
10	三	 U+4E09	CJK Unified Ideographs (Han)
11	上	 U+4E0A	CJK Unified Ideographs (Han)
12	下	 U+4E0B	CJK Unified Ideographs (Han)
13	丌	 U+4E0C	CJK Unified Ideographs (Han)
14	不	 U+4E0D	CJK Unified Ideographs (Han)
15	与	 U+4E0E	CJK Unified Ideographs (Han)
16	丏	 U+4E0F	CJK Unified Ideographs (Han)
17	丐	 U+4E10	CJK Unified Ideographs (Han)
18	丑	 U+4E11	CJK Unified Ideographs (Han)
19	丒	 U+4E12	CJK Unified Ideographs (Han)
20	专	 U+4E13	CJK Unified Ideographs (Han)
21	且	 U+4E14	CJK Unified Ideographs (Han)
22	丕	 U+4E15	CJK Unified Ideographs (Han)
23	世	 U+4E16	CJK Unified Ideographs (Han)
24	丗	 U+4E17	CJK Unified Ideographs (Han)
25	丘	 U+4E18	CJK Unified Ideographs (Han)
26	丙	 U+4E19	CJK Unified Ideographs (Han)
27	业	 U+4E1A	CJK Unified Ideographs (Han)
28	丛	 U+4E1B	CJK Unified Ideographs (Han)
29	东	 U+4E1C	CJK Unified Ideographs (Han)
30	丝	 U+4E1D	CJK Unified Ideographs (Han)
31	丞	 U+4E1E	CJK Unified Ideographs (Han)
32	丟	 U+4E1F	CJK Unified Ideographs (Han)
33	丠	 U+4E20	CJK Unified Ideographs (Han)
34	両	 U+4E21	CJK Unified Ideographs (Han)
35	丢	 U+4E22	CJK Unified Ideographs (Han)
36	丣	 U+4E23	CJK Unified Ideographs (Han)
37	两	 U+4E24	CJK Unified Ideographs (Han)
38	严	 U+4E25	CJK Unified Ideographs (Han)
39	並	 U+4E26	CJK Unified Ideographs (Han)
40	丧	 U+4E27	CJK Unified Ideographs (Han)
41	丨	 U+4E28	CJK Unified Ideographs (Han)
42	丩	 U+4E29	CJK Unified Ideographs (Han)
43	个	 U+4E2A	CJK Unified Ideographs (Han)
44	丫	 U+4E2B	CJK Unified Ideographs (Han)
45	丬	 U+4E2C	CJK Unified Ideographs (Han)
46	中	 U+4E2D	CJK Unified Ideographs (Han)
47	丮	 U+4E2E	CJK Unified Ideographs (Han)
48	丯	 U+4E2F	CJK Unified Ideographs (Han)
49	丰	 U+4E30	CJK Unified Ideographs (Han)
50	丱	 U+4E31	CJK Unified Ideographs (Han)
51	串	 U+4E32	CJK Unified Ideographs (Han)
52	丳	 U+4E33	CJK Unified Ideographs (Han)
53	临	 U+4E34	CJK Unified Ideographs (Han)
54	丵	 U+4E35	CJK Unified Ideographs (Han)
55	丶	 U+4E36	CJK Unified Ideographs (Han)
56	丷	 U+4E37	CJK Unified Ideographs (Han)
57	丸	 U+4E38	CJK Unified Ideographs (Han)
58	丹	 U+4E39	CJK Unified Ideographs (Han)
59	为	 U+4E3A	CJK Unified Ideographs (Han)
60	主	 U+4E3B	CJK Unified Ideographs (Han)
61	丼	 U+4E3C	CJK Unified Ideographs (Han)
62	丽	 U+4E3D	CJK Unified Ideographs (Han)
63	举	 U+4E3E	CJK Unified Ideographs (Han)
64	丿	 U+4E3F	CJK Unified Ideographs (Han)
65	乀	 U+4E40	CJK Unified Ideographs (Han)
66	乁	 U+4E41	CJK Unified Ideographs (Han)
67	乂	 U+4E42	CJK Unified Ideographs (Han)
68	乃	 U+4E43	CJK Unified Ideographs (Han)
69	乄	 U+4E44	CJK Unified Ideographs (Han)
70	久	 U+4E45	CJK Unified Ideographs (Han)
71	乆	 U+4E46	CJK Unified Ideographs (Han)
72	乇	 U+4E47	CJK Unified Ideographs (Han)
73	么	 U+4E48	CJK Unified Ideographs (Han)
74	义	 U+4E49	CJK Unified Ideographs (Han)
75	乊	 U+4E4A	CJK Unified Ideographs (Han)
76	之	 U+4E4B	CJK Unified Ideographs (Han)
77	乌	 U+4E4C	CJK Unified Ideographs (Han)
78	乍	 U+4E4D	CJK Unified Ideographs (Han)
79	乎	 U+4E4E	CJK Unified Ideographs (Han)
80	乏	 U+4E4F	CJK Unified Ideographs (Han)
81	乐	 U+4E50	CJK Unified Ideographs (Han)
82	乑	 U+4E51	CJK Unified Ideographs (Han)
83	乒	 U+4E52	CJK Unified Ideographs (Han)
84	乓	 U+4E53	CJK Unified Ideographs (Han)
85	乔	 U+4E54	CJK Unified Ideographs (Han)
86	乕	 U+4E55	CJK Unified Ideographs (Han)
87	乖	 U+4E56	CJK Unified Ideographs (Han)
88	乗	 U+4E57	CJK Unified Ideographs (Han)
89	乘	 U+4E58	CJK Unified Ideographs (Han)
90	乙	 U+4E59	CJK Unified Ideographs (Han)
91	乚	 U+4E5A	CJK Unified Ideographs (Han)
92	乛	 U+4E5B	CJK Unified Ideographs (Han)
93	乜	 U+4E5C	CJK Unified Ideographs (Han)
94	九	 U+4E5D	CJK Unified Ideographs (Han)
95	乞	 U+4E5E	CJK Unified Ideographs (Han)
96	也	 U+4E5F	CJK Unified Ideographs (Han)
97	习	 U+4E60	CJK Unified Ideographs (Han)
98	乡	 U+4E61	CJK Unified Ideographs (Han)
99	乢	 U+4E62	CJK Unified Ideographs (Han)
100	乣	 U+4E63	CJK Unified Ideographs (Han)
101	乤	 U+4E64	CJK Unified Ideographs (Han)
102	乥	 U+4E65	CJK Unified Ideographs (Han)
103	书	 U+4E66	CJK Unified Ideographs (Han)
104	乧	 U+4E67	CJK Unified Ideographs (Han)
105	乨	 U+4E68	CJK Unified Ideographs (Han)
106	乩	 U+4E69	CJK Unified Ideographs (Han)
107	乪	 U+4E6A	CJK Unified Ideographs (Han)
108	乫	 U+4E6B	CJK Unified Ideographs (Han)
109	乬	 U+4E6C	CJK Unified Ideographs (Han)
110	乭	 U+4E6D	CJK Unified Ideographs (Han)
111	乮	 U+4E6E	CJK Unified Ideographs (Han)
112	乯	 U+4E6F	CJK Unified Ideographs (Han)
113	买	 U+4E70	CJK Unified Ideographs (Han)
114	乱	 U+4E71	CJK Unified Ideographs (Han)
115	乲	 U+4E72	CJK Unified Ideographs (Han)
116	乳	 U+4E73	CJK Unified Ideographs (Han)
117	乴	 U+4E74	CJK Unified Ideographs (Han)
118	乵	 U+4E75	CJK Unified Ideographs (Han)
119	乶	 U+4E76	CJK Unified Ideographs (Han)
120	乷	 U+4E77	CJK Unified Ideographs (Han)
121	乸	 U+4E78	CJK Unified Ideographs (Han)
122	乹	 U+4E79	CJK Unified Ideographs (Han)
123	乺	 U+4E7A	CJK Unified Ideographs (Han)
124	乻	 U+4E7B	CJK Unified Ideographs (Han)
125	乼	 U+4E7C	CJK Unified Ideographs (Han)
126	乽	 U+4E7D	CJK Unified Ideographs (Han)
127	乾	 U+4E7E	CJK Unified Ideographs (Han)
128	乿	 U+4E7F	CJK Unified Ideographs (Han)
129	亀	 U+4E80	CJK Unified Ideographs (Han)
130	亁	 U+4E81	CJK Unified Ideographs (Han)
131	亂	 U+4E82	CJK Unified Ideographs (Han)
132	亃	 U+4E83	CJK Unified Ideographs (Han)
133	亄	 U+4E84	CJK Unified Ideographs (Han)
134	亅	 U+4E85	CJK Unified Ideographs (Han)
135	了	 U+4E86	CJK Unified Ideographs (Han)
136	亇	 U+4E87	CJK Unified Ideographs (Han)
137	予	 U+4E88	CJK Unified Ideographs (Han)
138	争	 U+4E89	CJK Unified Ideographs (Han)
139	亊	 U+4E8A	CJK Unified Ideographs (Han)
140	事	 U+4E8B	CJK Unified Ideographs (Han)
141	二	 U+4E8C	CJK Unified Ideographs (Han)
142	亍	 U+4E8D	CJK Unified Ideographs (Han)
143	于	 U+4E8E	CJK Unified Ideographs (Han)
144	亏	 U+4E8F	CJK Unified Ideographs (Han)
145	亐	 U+4E90	CJK Unified Ideographs (Han)
146	云	 U+4E91	CJK Unified Ideographs (Han)
147	互	 U+4E92	CJK Unified Ideographs (Han)
148	亓	 U+4E93	CJK Unified Ideographs (Han)
149	五	 U+4E94	CJK Unified Ideographs (Han)
150	井	 U+4E95	CJK Unified Ideographs (Han)
151	亖	 U+4E96	CJK Unified Ideographs (Han)
152	亗	 U+4E97	CJK Unified Ideographs (Han)
153	亘	 U+4E98	CJK Unified Ideographs (Han)
154	亙	 U+4E99	CJK Unified Ideographs (Han)
155	亚	 U+4E9A	CJK Unified Ideographs (Han)
156	些	 U+4E9B	CJK Unified Ideographs (Han)
157	亜	 U+4E9C	CJK Unified Ideographs (Han)
158	亝	 U+4E9D	CJK Unified Ideographs (Han)
159	亞	 U+4E9E	CJK Unified Ideographs (Han)
160	亟	 U+4E9F	CJK Unified Ideographs (Han)
161	亠	 U+4EA0	CJK Unified Ideographs (Han)
162	亡	 U+4EA1	CJK Unified Ideographs (Han)
163	亢	 U+4EA2	CJK Unified Ideographs (Han)
164	亣	 U+4EA3	CJK Unified Ideographs (Han)
165	交	 U+4EA4	CJK Unified Ideographs (Han)
166	亥	 U+4EA5	CJK Unified Ideographs (Han)
167	亦	 U+4EA6	CJK Unified Ideographs (Han)
168	产	 U+4EA7	CJK Unified Ideographs (Han)
169	亨	 U+4EA8	CJK Unified Ideographs (Han)
170	亩	 U+4EA9	CJK Unified Ideographs (Han)
171	亪	 U+4EAA	CJK Unified Ideographs (Han)
172	享	 U+4EAB	CJK Unified Ideographs (Han)
173	京	 U+4EAC	CJK Unified Ideographs (Han)
174	亭	 U+4EAD	CJK Unified Ideographs (Han)
175	亮	 U+4EAE	CJK Unified Ideographs (Han)
176	亯	 U+4EAF	CJK Unified Ideographs (Han)
177	亰	 U+4EB0	CJK Unified Ideographs (Han)
178	亱	 U+4EB1	CJK Unified Ideographs (Han)
179	亲	 U+4EB2	CJK Unified Ideographs (Han)
180	亳	 U+4EB3	CJK Unified Ideographs (Han)
181	亴	 U+4EB4	CJK Unified Ideographs (Han)
182	亵	 U+4EB5	CJK Unified Ideographs (Han)
183	亶	 U+4EB6	CJK Unified Ideographs (Han)
184	亷	 U+4EB7	CJK Unified Ideographs (Han)
185	亸	 U+4EB8	CJK Unified Ideographs (Han)
186	亹	 U+4EB9	CJK Unified Ideographs (Han)
187	人	 U+4EBA	CJK Unified Ideographs (Han)
188	亻	 U+4EBB	CJK Unified Ideographs (Han)
189	亼	 U+4EBC	CJK Unified Ideographs (Han)
190	亽	 U+4EBD	CJK Unified Ideographs (Han)
191	亾	 U+4EBE	CJK Unified Ideographs (Han)
